row,name,s_name,ofs,type,typename
291,SVC_SETVIEW,70975,214,2,float
292,SVC_PRINT,70987,202,2,float
293,SVC_SETANGLE,70997,218,2,float
294,SVC_TEMPENTITY,71010,251,2,float
295,IMMEDIATE,70014,251,2,float
296,SVC_SIGNONNUM,71025,252,2,float
297,IMMEDIATE,70014,252,2,float
298,SVC_CENTERPRINT,71039,253,2,float
299,IMMEDIATE,70014,253,2,float
300,SVC_KILLEDMONSTER,71055,254,2,float
301,IMMEDIATE,70014,254,2,float
302,SVC_FOUNDSECRET,71073,255,2,float
303,IMMEDIATE,70014,255,2,float
304,SVC_INTERMISSION,71089,256,2,float
305,IMMEDIATE,70014,256,2,float
306,SVC_FINALE,71106,257,2,float
307,IMMEDIATE,70014,257,2,float
308,SVC_CDTRACK,71117,204,2,float
309,SVC_SELLSCREEN,71129,258,2,float
310,IMMEDIATE,70014,258,2,float
311,TE_SPIKE,71144,199,2,float
312,TE_SUPERSPIKE,71153,200,2,float
313,TE_GUNSHOT,71167,201,2,float
314,TE_EXPLOSION,71178,212,2,float
315,TE_TAREXPLOSION,71191,213,2,float
316,TE_LIGHTNING1,71207,214,2,float
317,TE_LIGHTNING2,71221,215,2,float
318,TE_WIZSPIKE,71235,216,2,float
319,TE_KNIGHTSPIKE,71247,202,2,float
320,TE_LIGHTNING3,71262,217,2,float
321,TE_LAVASPLASH,71276,218,2,float
322,TE_TELEPORT,71290,219,2,float
323,CHAN_AUTO,71302,199,2,float
324,CHAN_WEAPON,71312,200,2,float
325,CHAN_VOICE,71324,201,2,float
326,CHAN_ITEM,71335,212,2,float
327,CHAN_BODY,71345,213,2,float
328,ATTN_NONE,71355,199,2,float
329,ATTN_NORM,71365,200,2,float
330,ATTN_IDLE,71375,201,2,float
331,ATTN_STATIC,71385,212,2,float
332,UPDATE_GENERAL,71397,199,2,float
333,UPDATE_STATIC,71412,200,2,float
334,UPDATE_BINARY,71426,201,2,float
335,UPDATE_TEMP,71440,212,2,float
336,EF_BRIGHTFIELD,71452,200,2,float
337,EF_MUZZLEFLASH,71467,201,2,float
338,EF_BRIGHTLIGHT,71482,213,2,float
339,EF_DIMLIGHT,71497,202,2,float
340,MSG_BROADCAST,71509,199,2,float
341,MSG_ONE,71523,200,2,float
342,MSG_ALL,71531,201,2,float
343,MSG_INIT,71539,212,2,float
344,movedist,71548,259,32770,
345,gameover,71557,260,32770,
346,string_null,71566,261,32769,
347,newmis,71578,262,32772,
348,activator,71585,263,32772,
349,damage_attacker,71595,264,32772,
350,framecount,71611,265,32770,
351,skill,71622,266,32770,
352,wad,71628,267,5,ev_field
353,map,71632,268,5,ev_field
354,worldtype,71636,269,5,ev_field
355,killtarget,71646,270,5,ev_field
356,light_lev,71657,271,5,ev_field
357,style,71667,272,5,ev_field
358,th_stand,71673,273,5,ev_field
359,th_walk,71682,274,5,ev_field
360,th_run,71690,275,5,ev_field
361,th_missile,71697,276,5,ev_field
362,th_melee,71708,277,5,ev_field
363,th_pain,71717,278,5,ev_field
364,th_die,71725,279,5,ev_field
365,oldenemy,71732,280,5,ev_field
366,speed,71741,281,5,ev_field
367,lefty,71747,282,5,ev_field
368,search_time,71753,283,5,ev_field
369,attack_state,71765,284,5,ev_field
370,AS_STRAIGHT,71778,200,2,float
371,AS_SLIDING,71790,201,2,float
372,AS_MELEE,71801,212,2,float
373,AS_MISSILE,71810,213,2,float
374,walkframe,71821,285,5,ev_field
375,attack_finished,71831,286,5,ev_field
376,pain_finished,71847,287,5,ev_field
377,invincible_finished,71861,288,5,ev_field
378,invisible_finished,71881,289,5,ev_field
379,super_damage_finished,71900,290,5,ev_field
380,radsuit_finished,71922,291,5,ev_field
381,invincible_time,71939,292,5,ev_field
382,invincible_sound,71955,293,5,ev_field
383,invisible_time,71972,294,5,ev_field
384,invisible_sound,71987,295,5,ev_field
385,super_time,72003,296,5,ev_field
386,super_sound,72014,297,5,ev_field
387,rad_time,72026,298,5,ev_field
388,fly_sound,72035,299,5,ev_field
389,axhitme,72045,300,5,ev_field
390,show_hostile,72053,301,5,ev_field
391,jump_flag,72066,302,5,ev_field
392,swim_flag,72076,303,5,ev_field
393,air_finished,72086,304,5,ev_field
394,bubble_count,72099,305,5,ev_field
395,deathtype,72112,306,5,ev_field
396,mdl,72122,307,5,ev_field
397,mangle,72126,308,5,ev_field
398,mangle_x,72133,308,5,ev_field
399,mangle_y,72142,309,5,ev_field
400,mangle_z,72151,310,5,ev_field
401,t_length,72160,311,5,ev_field
402,t_width,72169,312,5,ev_field
403,dest,72177,313,5,ev_field
404,dest_x,72182,313,5,ev_field
405,dest_y,72189,314,5,ev_field
406,dest_z,72196,315,5,ev_field
407,dest1,72203,316,5,ev_field
408,dest1_x,72209,316,5,ev_field
409,dest1_y,72217,317,5,ev_field
410,dest1_z,72225,318,5,ev_field
411,dest2,72233,319,5,ev_field
412,dest2_x,72239,319,5,ev_field
413,dest2_y,72247,320,5,ev_field
414,dest2_z,72255,321,5,ev_field
415,wait,72263,322,5,ev_field
416,delay,72268,323,5,ev_field
417,trigger_field,72274,324,5,ev_field
418,noise4,72288,325,5,ev_field
419,pausetime,72295,326,5,ev_field
420,movetarget,72305,327,5,ev_field
421,aflag,72316,328,5,ev_field
422,dmg,72322,329,5,ev_field
423,cnt,72326,330,5,ev_field
424,think1,72330,331,5,ev_field
425,finaldest,72337,332,5,ev_field
426,finaldest_x,72347,332,5,ev_field
427,finaldest_y,72359,333,5,ev_field
428,finaldest_z,72371,334,5,ev_field
429,finalangle,72383,335,5,ev_field
430,finalangle_x,72394,335,5,ev_field
431,finalangle_y,72407,336,5,ev_field
432,finalangle_z,72420,337,5,ev_field
433,count,72433,338,5,ev_field
434,lip,72439,339,5,ev_field
435,state,72443,340,5,ev_field
436,pos1,72449,341,5,ev_field
437,pos1_x,72454,341,5,ev_field
438,pos1_y,72461,342,5,ev_field
439,pos1_z,72468,343,5,ev_field
440,pos2,72475,344,5,ev_field
441,pos2_x,72480,344,5,ev_field
442,pos2_y,72487,345,5,ev_field
443,pos2_z,72494,346,5,ev_field
444,height,72501,347,5,ev_field
445,waitmin,72508,348,5,ev_field
446,waitmax,72516,349,5,ev_field
447,distance,72524,350,5,ev_field
448,volume,72533,351,5,ev_field
449,makevectors,72540,352,6,void()
450,setorigin,72552,353,6,void()
451,setmodel,72562,354,6,void()
452,setsize,72571,355,6,void()
453,random,72579,356,6,void()
454,sound,72586,357,6,void()
455,normalize,72592,358,6,void()
456,error,72602,359,6,void()
457,objerror,72608,360,6,void()
458,vlen,72617,361,6,void()
459,vectoyaw,72622,362,6,void()
460,spawn,72631,363,6,void()
461,remove,72637,364,6,void()
462,traceline,72644,365,6,void()
463,checkclient,72654,366,6,void()
464,find,72666,367,6,void()
465,precache_sound,72671,368,6,void()
466,precache_model,72686,369,6,void()
467,findradius,72701,370,6,void()
468,bprint,72712,371,6,void()
469,dprint,72719,372,6,void()
470,ftos,72726,373,6,void()
471,vtos,72731,374,6,void()
472,eprint,72736,375,6,void()
473,walkmove,72743,376,6,void()
474,droptofloor,72752,377,6,void()
475,lightstyle,72764,378,6,void()
476,rint,72775,379,6,void()
477,floor,72780,380,6,void()
478,ceil,72786,381,6,void()
479,checkbottom,72791,382,6,void()
